sciname,trend
Centropyge bispinosa,Stable
Centropyge flavissima,Stable
Centropyge fisheri,Stable
Pomacanthus imperator,Stable
Apolemichthys xanthopunctatus,Stable
Centropyge nigriocellus,Stable
Centropyge loricula,Stable
Elops hawaiensis,Unknown
Chaetodon ephippium,Stable
Chaetodon auriga,Decreasing
Chaetodon semeion,Stable
Chaetodon lineolatus,Stable
Chaetodon citrinellus,Stable
Chaetodon trifascialis,Decreasing
Chaetodon quadrimaculatus,Stable
Forcipiger longirostris,Unknown
Hemitaurichthys thompsoni,Stable
Chaetodon punctatofasciatus,Stable
Chaetodon meyeri,Unknown
Chaetodon kleinii,Stable
Chaetodon bennetti,Stable
Hemitaurichthys polylepis,Stable
Chaetodon lunula,Stable
Chaetodon ornatissimus,Unknown
Chaetodon reticulatus,Stable
Chaetodon lunulatus,Decreasing
Chaetodon ulietensis,Stable
Forcipiger flavissimus,Stable
Chaetodon unimaculatus,Stable
Chaetodon vagabundus,Stable
Heniochus acuminatus,Stable
Euprotomicrus bispinatus,Unknown
Alopias superciliosus,Decreasing
Carcharhinus amblyrhynchos,Unknown
Prionace glauca,Decreasing
Alopias pelagicus,Decreasing
Aetobatus narinari,Decreasing
Carcharodon carcharias,Decreasing
Aetobatus ocellatus,Decreasing
Triaenodon obesus,Unknown
Alopias vulpinus,Decreasing
Isurus paucus,Decreasing
Pseudocarcharias kamoharai,Increasing
Galeocerdo cuvier,Decreasing
Pteroplatytrygon violacea,Unknown
Megachasma pelagios,Unknown
Isurus oxyrinchus,Decreasing
Mobula alfredi,Decreasing
Carcharhinus falciformis,Decreasing
Mobula birostris,Decreasing
Rhincodon typus,Decreasing
Carcharhinus longimanus,Decreasing
Entomacrodus cymatobiotus,Stable
Blenniella gibbifrons,Stable
Cirripectes polyzona,Stable
Aspidontus taeniatus,Stable
Cirripectes variolosus,Stable
Cirripectes auritus,Stable
Enneapterygius tutuilae,Unknown
Cirripectes jenningsi,Stable
Blenniella paula,Stable
Entomacrodus thalassinus,Stable
Omobranchus obliquus,Stable
Istiblennius edentulus,Stable
Exallias brevis,Stable
Cirripectes quagga,Stable
Rhabdoblennius rhabdotrachelus,Stable
Plagiotremus rhinorhynchos,Stable
Plagiotremus tapeinosoma,Stable
Entomacrodus striatus,Stable
Ecsenius midas,Stable
Petroscirtes xestus,Stable
Conus planorbis,Unknown
Conus miles,Unknown
Conus coronatus,Unknown
Conus pulicarius,NA
Conus lividus,Unknown
Conus pertusus,Unknown
Conus ebraeus,Unknown
Conus auricomus,Unknown
Conus acutangulus,Unknown
Conus bullatus,Unknown
Conus sanguinolentus,Unknown
Conus bandanus,Unknown
Conus coffeae,Unknown
Conus mitratus,Unknown
Conus varius,Unknown
Conus tulipa,Unknown
Conus vexillum,Unknown
Conus quercinus,Unknown
Conus obscurus,Unknown
Conus eburneus,Unknown
Conus rattus,Unknown
Conus circumactus,Unknown
Conus retifer,Decreasing
Conus imperialis,Unknown
Conus striatus,Stable
Conus canonicus,Unknown
Conus textile,NA
Conus catus,Unknown
Conus nussatella,Unknown
Conus generalis,Unknown
Conus glans,Unknown
Conus moreleti,Unknown
Conus flavidus,Unknown
Conus tessulatus,Stable
Conus episcopatus,Unknown
Conus frigidus,Unknown
Conus sponsalis,Stable
Conus virgo,Unknown
Conus cylindraceus,Unknown
Conus emaciatus,Unknown
Conus distans,Unknown
Conus litteratus,Unknown
Conus terebra,Unknown
Conus arenatus,Unknown
Conus aulicus,Unknown
Conus geographus,Unknown
Conus ferrugineus,Unknown
Conus litoglyphus,Unknown
Conus magnificus,Unknown
Conus chaldaeus,Unknown
Conus leopardus,Unknown
Leptastrea transversa,Decreasing
Platygyra carnosus,Decreasing
Montipora informis,Decreasing
Favia pallida,Decreasing
Montipora calcarea,Decreasing
Favia stelligera,Decreasing
Favia lizardensis,Decreasing
Plerogyra sinuosa,Unknown
Favites halicora,Decreasing
Favia favus,Decreasing
Acropora tortuosa,Decreasing
Acropora lutkeni,Decreasing
Favites complanata,Decreasing
Montipora incrassata,Decreasing
Montipora turgescens,Decreasing
Platygyra ryukyuensis,Decreasing
Fungia scutaria,Unknown
Acropora grandis,Decreasing
Montipora capitata,Decreasing
Platygyra pini,Decreasing
Montipora aequituberculata,Decreasing
Platygyra contorta,Decreasing
Montipora peltiformis,Decreasing
Favia matthaii,Decreasing
Favites pentagona,Decreasing
Montastrea valenciennesi,Decreasing
Acropora horrida,Decreasing
Montipora verrucosa,Decreasing
Leptastrea bewickensis,Decreasing
Montipora monasteriata,Decreasing
Montipora foveolata,Decreasing
Acropora microphthalma,Decreasing
Platygyra daedalea,Decreasing
Platygyra sinensis,Decreasing
Montipora tuberculosa,Decreasing
Montipora hoffmeisteri,Decreasing
Goniastrea pectinata,Decreasing
Leptastrea purpurea,Decreasing
Leptastrea pruinosa,Decreasing
Favites abdita,Decreasing
Favites chinensis,Decreasing
Montastrea curta,Decreasing
Abudefduf sordidus,Stable
Abudefduf vaigiensis,Stable
Abudefduf septemfasciatus,Stable
Chromis caudalis,Unknown
Epinephelus polyphekadion,Decreasing
Epinephelus fuscoguttatus,Decreasing
Cephalopholis leopardus,Unknown
Plectropomus laevis,Unknown
Epinephelus tauvina,Unknown
Cephalopholis argus,Stable
Epinephelus macrospilos,Stable
Cephalopholis sonnerati,Stable
Epinephelus hexagonatus,Stable
Epinephelus merra,Stable
Epinephelus retouti,Unknown
Gracila albomarginata,Unknown
Cephalopholis urodeta,Stable
Epinephelus melanostigma,Unknown
Epinephelus spilotoceps,Stable
Epinephelus fasciatus,Unknown
Epinephelus socialis,Unknown
Cephalopholis miniata,Stable
Variola louti,Stable
Cephalopholis sexmaculata,Unknown
Epinephelus howlandi,Unknown
Eptatretus carlhubbsi,Unknown
Arctides regalis,Unknown
Stereomastis surda,Unknown
Peponocephala electra,Unknown
Steno bredanensis,Unknown
Kogia breviceps,Unknown
Stenella coeruleoalba,Unknown
Mesoplodon ginkgodens,Unknown
Ziphius cavirostris,Unknown
Orcinus orca,Unknown
Physeter macrocephalus,Unknown
Indopacetus pacificus,Unknown
Tursiops truncatus,Unknown
Balaenoptera edeni,Unknown
Kogia sima,Unknown
Mesoplodon densirostris,Unknown
Stenella longirostris,Unknown
Globicephala macrorhynchus,Unknown
Megaptera novaeangliae,Increasing
Mesoplodon hotaula,Unknown
Balaenoptera borealis,Increasing
Grampus griseus,Unknown
Balaenoptera musculus,Increasing
Lagenodelphis hosei,Unknown
Balaenoptera acutorostrata,Unknown
Pseudorca crassidens,Unknown
Feresa attenuata,Unknown
Stenella attenuata,Unknown
Sphoeroides pachygaster,Unknown
Canthigaster janthinoptera,Unknown
Canthigaster amboinensis,Unknown
Canthigaster solandri,Unknown
Lagocephalus lagocephalus,Unknown
Arothron nigropunctatus,Unknown
Lagocephalus sceleratus,Unknown
Canthigaster bennetti,Unknown
Arothron hispidus,Unknown
Arothron meleagris,Stable
Eretmochelys imbricata,Decreasing
Dermochelys coriacea,Decreasing
Caretta caretta,Decreasing
Hydrophis platurus,Stable
Chelonia mydas,Decreasing
Holothuria leucospilota,Unknown
Holothuria fuscogilva,Decreasing
Holothuria hilla,Unknown
Stichopus monotuberculatus,Unknown
Holothuria pervicax,Unknown
Holothuria difficilis,Unknown
Stichopus horrens,Unknown
Holothuria flavomaculata,Unknown
Actinopyga mauritiana,Decreasing
Holothuria inhabilis,Unknown
Holothuria pardalis,Unknown
Holothuria discrepans,Unknown
Holothuria whitmaei,NA
Holothuria olivacea,Unknown
Holothuria rigida,Unknown
Holothuria impatiens,Unknown
Holothuria fuscocinerea,Unknown
Bohadschia vitiensis,Decreasing
Holothuria stocki,Unknown
Pearsonothuria graeffei,Unknown
Holothuria atra,Stable
Holothuria erinaceaus,Unknown
Labidodemas semperianum,Unknown
Holothuria verrucosa,Unknown
Holothuria arenicola,Unknown
Naso lituratus,Stable
Acanthurus nigricauda,Stable
Naso unicornis,Unknown
Zebrasoma rostratum,Unknown
Acanthurus leucocheilus,Unknown
Naso brevirostris,Stable
Ctenochaetus hawaiiensis,Unknown
Acanthurus triostegus,Stable
Acanthurus xanthopterus,Stable
Acanthurus lineatus,Stable
Naso vlamingii,Decreasing
Acanthurus guttatus,Unknown
Ctenochaetus marginatus,Unknown
Acanthurus thompsoni,Stable
Acanthurus nigricans,Stable
Acanthurus maculiceps,Unknown
Acanthurus pyroferus,Stable
Acanthurus olivaceus,Stable
Zebrasoma veliferum,Stable
Paracanthurus hepatus,Unknown
Ctenochaetus cyanocheilus,Stable
Zebrasoma scopas,Stable
Acanthurus achilles,Stable
Acanthurus blochii,Stable
Ctenochaetus flavicauda,Unknown
Acanthurus dussumieri,Unknown
Acanthurus nigrofuscus,Stable
Naso hexacanthus,Stable
Acanthurus mata,Stable
Ctenochaetus striatus,Stable
Fistularia petimba,Unknown
Fistularia commersonii,Unknown
Doryrhamphus excisus,Unknown
Choeroichthys sculptus,Decreasing
Aulostomus chinensis,Unknown
Katsuwonus pelamis,Stable
Thunnus albacares,Decreasing
Makaira nigricans,Decreasing
Tetrapturus angustirostris,Unknown
Thunnus alalunga,Decreasing
Xiphias gladius,Decreasing
Kajikia audax,Decreasing
Thunnus obesus,Decreasing
Istiophorus platypterus,Unknown
Acanthocybium solandri,Stable
Istiompax indica,Unknown
Coris centralis,Unknown
Cheilinus trilobatus,Stable
Coris gaimard,Stable
Novaculichthys taeniourus,Unknown
Cirrhilabrus exquisitus,Unknown
Pseudocheilinus hexataenia,Unknown
Thalassoma amblycephalum,Unknown
Labropsis xanthonota,Unknown
Thalassoma hardwicke,Unknown
Bodianus prognathus,Unknown
Halichoeres hortulanus,Unknown
Oxycheilinus unifasciatus,Unknown
Thalassoma lutescens,Unknown
Epibulus insidiator,Unknown
Thalassoma quinquevittatum,Unknown
Bodianus loxozonus,Unknown
Thalassoma purpureum,Unknown
Halichoeres pallidus,Unknown
Calotomus carolinus,Unknown
Scarus globiceps,Unknown
Scarus spinus,Unknown
Chlorurus microrhinos,Unknown
Scarus psittacus,Unknown
Scarus niger,Unknown
Scarus pyrrostethus,Unknown
Bolbometopon muricatum,Decreasing
Scarus oviceps,Unknown
Pseudocheilinus ocellatus,Unknown
Hemigymnus fasciatus,Unknown
Thalassoma lunare,Stable
Labroides dimidiatus,Unknown
Stethojulis bandanensis,Unknown
Halichoeres margaritaceus,Unknown
Halichoeres trimaculatus,Unknown
Bodianus axillaris,Unknown
Hologymnosus doliatus,Unknown
Gomphosus varius,Unknown
Halichoeres melasmapomus,Unknown
Labroides pectoralis,Unknown
Pseudocheilinus octotaenia,Unknown
Pseudojuloides cerasinus,Unknown
Labrichthys unilineatus,Unknown
Cheilinus oxycephalus,Unknown
Pseudocheilinus evanidus,Unknown
Cymolutes praetextatus,Unknown
Pseudocoris heteroptera,Unknown
Macropharyngodon meleagris,Unknown
Halichoeres claudia,Unknown
Iniistius pavo,Unknown
Thalassoma trilobatum,Unknown
Pseudodax moluccanus,Unknown
Bodianus anthioides,Unknown
Anampses caeruleopunctatus,Unknown
Anampses meleagrides,Stable
Labroides rubrolabiatus,Unknown
Labroides bicolor,Unknown
Anampses twistii,Stable
Coris aygula,Unknown
Scarus tricolor,Unknown
Chlorurus spilurus,Unknown
Scarus rubroviolaceus,Unknown
Hipposcarus longiceps,Unknown
Scarus frenatus,Unknown
Chlorurus frontalis,Stable
Gygis alba,Stable
Oceanites oceanicus,Stable
